Channel,trl,rip_start,rip_end,rip_peak,rip_dur,entropy,surprise,meanEnt,rt,trl_num,subI
1,220,436,456,451,0.044,1.846439345,2.321928095,1.809451329,849,367,1
1,224,393,405,395,0.028,1.825605199,1.584962501,1.729485791,433,372,1
1,224,954,965,956,0.026,1.825605199,1.584962501,1.729485791,433,372,1
1,227,2,14,8,0.028,1.74741304,1.662965013,1.691740681,427,376,1
1,231,67,81,71,0.032,1.669909514,1.222392421,1.668057677,562,385,1
1,231,412,427,417,0.034,1.669909514,1.222392421,1.668057677,562,385,1
1,232,458,491,471,0.07,1.653338314,1.5360529,1.651696372,491,386,1
1,233,94,105,103,0.026,1.647920442,1.206450877,1.652562134,432,387,1
1,234,609,622,620,0.03,1.61666415,1.540568381,1.644207496,723,389,1
1,234,744,756,749,0.028,1.61666415,1.540568381,1.644207496,723,389,1
1,235,182,194,185,0.028,1.613104743,1.137503524,1.630952012,509,390,1
1,235,387,398,391,0.026,1.613104743,1.137503524,1.630952012,509,390,1
1,235,716,736,729,0.044,1.613104743,1.137503524,1.630952012,509,390,1
1,240,974,992,980,0.04,1.538148813,1,1.594767647,544,397,1
1,245,981,994,990,0.03,1.918295834,2.584962501,1.886842188,456,403,1
1,246,135,150,142,0.034,1.950212065,1.807354922,1.854508493,592,404,1
1,246,316,327,317,0.026,1.950212065,1.807354922,1.854508493,592,404,1
1,249,244,255,250,0.026,1.936260028,1.874469118,1.790855108,409,408,1
1,249,437,450,444,0.03,1.936260028,1.874469118,1.790855108,409,408,1
1,251,279,293,283,0.032,1.950063756,1.700439718,1.758195534,736,410,1
1,252,555,566,559,0.026,1.924174352,2.222392421,1.730489953,692,411,1
1,252,961,973,969,0.028,1.924174352,2.222392421,1.730489953,692,411,1
1,255,800,815,806,0.034,1.903967813,3.087462841,1.722586231,673,414,1
1,258,148,162,150,0.032,1.913371879,2.392317423,1.681171906,550,418,1
1,258,337,362,350,0.054,1.913371879,2.392317423,1.681171906,550,418,1
1,259,358,369,368,0.026,1.929090851,2.137503524,1.685181791,397,419,1
1,259,712,725,721,0.03,1.929090851,2.137503524,1.685181791,397,419,1
1,262,250,266,260,0.036,1.885111819,1.754887502,1.66341076,654,424,1
1,264,733,744,742,0.026,1.863231501,2.273018494,1.651696372,573,426,1
1,266,573,587,584,0.032,1.858865763,3.36923381,1.6391352,925,428,1
1,267,449,463,453,0.032,1.867351713,1.280107919,1.625571662,411,431,1
1,267,670,688,675,0.04,1.867351713,1.280107919,1.625571662,411,431,1
1,267,828,844,838,0.036,1.867351713,1.280107919,1.625571662,411,431,1
1,269,896,907,903,0.026,1.921928095,2.321928095,1.921928095,712,442,1
1,273,435,466,458,0.066,1.752715279,3.169925001,1.811885275,790,446,1
1,274,694,712,701,0.04,1.846439345,1.321928095,1.809451329,708,447,1
1,275,728,741,735,0.03,1.789929075,1.874469118,1.790855108,497,448,1
1,277,966,982,977,0.036,1.738149333,1.700439718,1.758195534,597,450,1
1,280,30,44,36,0.032,1.772077254,1.362570079,1.715485269,450,455,1
1,282,191,203,199,0.028,1.719973094,1.736965594,1.694418043,585,457,1
1,282,496,514,505,0.04,1.719973094,1.736965594,1.694418043,585,457,1
1,283,441,454,444,0.03,1.717040781,4.392317423,1.681171906,878,458,1
1,287,678,690,682,0.028,1.842292189,2.058893689,1.685848318,451,462,1
1,288,796,816,808,0.044,1.847331662,1.530514717,1.668676732,520,463,1
1,296,902,915,910,0.03,1.701574712,2.115477217,1.595856128,579,476,1
1,297,978,990,989,0.028,1.710447377,2.152003093,1.594767647,554,477,1
1,298,666,678,673,0.028,1.719767013,1.109624491,1.588644619,485,478,1
1,299,266,277,273,0.026,1.704766856,1.070389328,1.576868843,458,479,1
1,299,459,488,473,0.062,1.704766856,1.070389328,1.576868843,458,479,1
1,299,756,769,761,0.03,1.704766856,1.070389328,1.576868843,458,479,1
2,5,124,136,129,0.028,1.861315277,1.184424571,1.685848318,803,22,1
2,7,226,241,236,0.034,1.806165601,2.169925001,1.66341076,902,24,1
2,8,782,794,793,0.028,1.816026322,1.106915204,1.668057677,938,25,1
