subI,norm_count,entropy,time
4,1.1875,1.2,600
4,2.375,1.2,800
4,1.166666667,1.3,-1000
4,0.583333333,1.3,-800
4,0.583333333,1.3,-600
4,0,1.3,-400
4,0,1.3,-200
4,0,1.3,0
4,0,1.3,200
4,0,1.3,400
4,1.75,1.3,600
4,0,1.3,800
4,0,1.4,-1000
4,0,1.4,-800
4,0,1.4,-600
4,0,1.4,-400
4,0.375,1.4,-200
4,0,1.4,0
4,0,1.4,200
4,0.375,1.4,400
4,0,1.4,600
4,0.375,1.4,800
4,0,1.5,-1000
4,0,1.5,-800
4,0,1.5,-600
4,0.615384615,1.5,-400
4,0.615384615,1.5,-200
4,1.846153846,1.5,0
4,0,1.5,200
4,0.615384615,1.5,400
4,0.615384615,1.5,600
4,0.615384615,1.5,800
4,3.461538462,1.6,-1000
4,0.692307692,1.6,-800
4,1.384615385,1.6,-600
4,1.384615385,1.6,-400
4,0.692307692,1.6,-200
4,0.692307692,1.6,0
4,0.692307692,1.6,200
4,0.692307692,1.6,400
4,1.384615385,1.6,600
4,1.384615385,1.6,800
4,0.825,1.7,-1000
4,4.95,1.7,-800
4,2.475,1.7,-600
4,3.3,1.7,-400
4,0.825,1.7,-200
4,4.125,1.7,0
4,2.475,1.7,200
4,4.95,1.7,400
4,0.825,1.7,600
4,2.475,1.7,800
4,3.974358974,1.8,-1000
4,2.384615385,1.8,-800
4,3.179487179,1.8,-600
4,3.974358974,1.8,-400
4,0,1.8,-200
4,3.179487179,1.8,0
4,3.179487179,1.8,200
4,1.58974359,1.8,400
4,2.384615385,1.8,600
4,0.794871795,1.8,800
4,2.181818182,1.9,-1000
4,0,1.9,-800
4,0.727272727,1.9,-600
4,0.727272727,1.9,-400
4,2.181818182,1.9,-200
4,1.454545455,1.9,0
4,2.181818182,1.9,200
4,0.727272727,1.9,400
4,0.727272727,1.9,600
4,0.727272727,1.9,800
5,NaN,0.8,-1000
5,NaN,0.8,-800
5,NaN,0.8,-600
5,NaN,0.8,-400
5,NaN,0.8,-200
5,NaN,0.8,0
5,NaN,0.8,200
5,NaN,0.8,400
5,NaN,0.8,600
5,NaN,0.8,800
5,NaN,0.9,-1000
5,NaN,0.9,-800
5,NaN,0.9,-600
5,NaN,0.9,-400
5,NaN,0.9,-200
5,NaN,0.9,0
5,NaN,0.9,200
5,NaN,0.9,400
5,NaN,0.9,600
5,NaN,0.9,800
5,0,1,-1000
5,0,1,-800
5,0,1,-600
5,0,1,-400
5,0,1,-200
5,0,1,0
5,0.333333333,1,200
5,0,1,400
5,0,1,600
5,0,1,800
5,0.833333333,1.1,-1000
5,0,1.1,-800
5,0,1.1,-600
5,0,1.1,-400
5,0,1.1,-200
5,1.666666667,1.1,0
5,0,1.1,200
5,1.666666667,1.1,400
5,0,1.1,600
5,0,1.1,800
5,0.9375,1.2,-1000
5,0.9375,1.2,-800
5,3.75,1.2,-600
5,1.875,1.2,-400
5,0.9375,1.2,-200
5,0.9375,1.2,0
5,1.875,1.2,200
5,0,1.2,400
5,1.875,1.2,600
5,0.9375,1.2,800
5,0,1.3,-1000
5,1.733333333,1.3,-800
5,3.466666667,1.3,-600
5,0,1.3,-400
5,0.866666667,1.3,-200
5,1.733333333,1.3,0
5,0.866666667,1.3,200
